Rank,Class,mAP50,mAP50-95,Accuracy
🥇 1,Person,0.091,0.063,6.3%
🥈 2,Bicycle,0.091,0.063,6.3%
🥉 3,Car,0.091,0.063,6.3%
 4,Motorcycle,0.091,0.063,6.3%
 5,Airplane,0.091,0.063,6.3%
 6,Bus,0.091,0.063,6.3%
 7,Train,0.091,0.063,6.3%
 8,Truck,0.091,0.063,6.3%
 9,Boat,0.091,0.063,6.3%
 10,Traffic light,0.091,0.063,6.3%
 11,Fire hydrant,0.091,0.063,6.3%
 12,Stop sign,0.091,0.063,6.3%
 13,Parking meter,0.091,0.063,6.3%
 14,Bench,0.091,0.063,6.3%
 15,Bird,0.091,0.063,6.3%
 16,Cat,0.091,0.063,6.3%
 17,Dog,0.091,0.063,6.3%
 18,Horse,0.091,0.063,6.3%
 19,Sheep,0.091,0.063,6.3%
 20,Cow,0.091,0.063,6.3%
 21,Elephant,0.091,0.063,6.3%
 22,Bear,0.091,0.063,6.3%
 23,Zebra,0.091,0.063,6.3%
 24,Giraffe,0.091,0.063,6.3%
 25,Backpack,0.091,0.063,6.3%
 26,Umbrella,0.091,0.063,6.3%
 27,Handbag,0.091,0.063,6.3%
 28,Tie,0.091,0.063,6.3%
 29,Suitcase,0.091,0.063,6.3%
 30,Frisbee,0.091,0.063,6.3%
 31,Skis,0.091,0.063,6.3%
 32,Snowboard,0.091,0.063,6.3%
 33,Sports ball,0.091,0.063,6.3%
 34,Kite,0.091,0.063,6.3%
 35,Baseball bat,0.091,0.063,6.3%
 36,Baseball glove,0.091,0.063,6.3%
 37,Skateboard,0.091,0.063,6.3%
 38,Surfboard,0.091,0.063,6.3%
 39,Tennis racket,0.091,0.063,6.3%
 40,Bottle,0.091,0.063,6.3%
 41,Wine glass,0.091,0.063,6.3%
 42,Cup,0.091,0.063,6.3%
 43,Fork,0.091,0.063,6.3%
 44,Knife,0.091,0.063,6.3%
 45,Spoon,0.091,0.063,6.3%
 46,Bowl,0.091,0.063,6.3%
 47,Banana,0.091,0.063,6.3%
 48,Apple,0.091,0.063,6.3%
 49,Sandwich,0.091,0.063,6.3%
 50,Orange,0.091,0.063,6.3%
 51,Broccoli,0.091,0.063,6.3%
 52,Carrot,0.091,0.063,6.3%
 53,Hot dog,0.091,0.063,6.3%
 54,Pizza,0.091,0.063,6.3%
 55,Donut,0.091,0.063,6.3%
 56,Cake,0.091,0.063,6.3%
 57,Chair,0.091,0.063,6.3%
 58,Couch,0.091,0.063,6.3%
 59,Potted plant,0.091,0.063,6.3%
 60,Bed,0.091,0.063,6.3%
 61,Dining table,0.091,0.063,6.3%
 62,Toilet,0.091,0.063,6.3%
 63,Tv,0.091,0.063,6.3%
 64,Laptop,0.091,0.063,6.3%
 65,Mouse,0.091,0.063,6.3%
 66,Remote,0.091,0.063,6.3%
 67,Keyboard,0.091,0.063,6.3%
 68,Cell phone,0.091,0.063,6.3%
 69,Microwave,0.091,0.063,6.3%
 70,Oven,0.091,0.063,6.3%
 71,Toaster,0.091,0.063,6.3%
 72,Sink,0.091,0.063,6.3%
 73,Refrigerator,0.091,0.063,6.3%
 74,Book,0.091,0.063,6.3%
 75,Clock,0.091,0.063,6.3%
 76,Vase,0.091,0.063,6.3%
 77,Scissors,0.091,0.063,6.3%
 78,Teddy bear,0.091,0.063,6.3%
 79,Hair drier,0.091,0.063,6.3%
 80,Toothbrush,0.091,0.063,6.3%
—,Average,0.091,0.063,6.3%
